Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
USP45	ENSG00000123552	OMIM	AR	Liver-HCC	2.84	0.40	0.89	0.164	0.302	-	-	-	-	-	2.84	0.40	0.89	0.164	0.297
VPS13B	ENSG00000132549	OMIM	AR	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
VWA3B	ENSG00000168658	OMIM	AR	Liver-HCC	-	-	-	-	-	0.95	0.00	3.02	0.062	0.116	0.95	0.00	3.02	0.062	0.118
WDR66	ENSG00000158023	OMIM	AR	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
XIRP2	ENSG00000163092	SOD	Not OMIM	Liver-HCC	0.63	0.12	0.59	0.592	0.773	-	-	-	-	-	0.63	0.12	0.59	0.592	0.775
XRCC1	ENSG00000073050	OMIM	AR	Liver-HCC	0.63	0.08	1.01	0.393	0.552	-	-	-	-	-	0.63	0.08	1.01	0.393	0.558
YARS	ENSG00000134684	OMIM	AD	Liver-HCC	0.00	0.08	-0.58	0.726	0.908	-	-	-	-	-	0.00	0.08	-0.58	0.726	0.908
ZFHX3	ENSG00000140836	OMIM	Other	Liver-HCC	-	-	-	-	-	0.63	0.00	2.60	0.119	0.209	0.63	0.00	2.60	0.119	0.217
ZMPSTE24	ENSG00000084073	OMIM	AR	Liver-HCC	0.63	0.00	2.60	0.119	0.221	0.63	0.00	2.60	0.119	0.209	0.63	0.00	2.60	0.119	0.217
ZNF14	ENSG00000105708	SOD	Not OMIM	Liver-HCC	0.32	0.04	1.01	0.486	0.651	-	-	-	-	-	0.32	0.04	1.01	0.486	0.654
ZNF165	ENSG00000197279	SOD	Not OMIM	Liver-HCC	0.32	0.08	0.42	0.750	0.929	-	-	-	-	-	0.32	0.08	0.42	0.750	0.926
ZNF234	ENSG00000263002	SOD	Not OMIM	Liver-HCC	0.32	0.08	0.42	0.750	0.929	-	-	-	-	-	0.32	0.08	0.42	0.750	0.926
ZNF93	ENSG00000184635	SOD	Not OMIM	Liver-HCC	0.00	0.12	-1.00	0.535	0.702	-	-	-	-	-	0.00	0.12	-1.00	0.535	0.704
ABCA3	ENSG00000167972	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
ABCA4	ENSG00000198691	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.36	0.76	0.498	0.527	0.93	0.36	0.76	0.498	0.522
ABCA7	ENSG00000064687	OMIM	AD	Lymph-BNHL	0.00	0.28	0.08	0.961	0.961	-	-	-	-	-	0.00	0.28	0.08	0.961	0.961
ABCB6	ENSG00000115657	OMIM	AD	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
ABCC11	ENSG00000121270	OMIM	AD	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
ABCC6	ENSG00000091262	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	0.93	0.24	1.28	0.271	0.317	0.93	0.28	1.09	0.344	0.393
ABCG2	ENSG00000118777	OMIM	AD	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
ACADVL	ENSG00000072778	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
ACSL3	ENSG00000123983	SOD	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
ACSM3	ENSG00000005187	OMIM	Other	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
ADAM10	ENSG00000137845	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865	0.00	0.24	0.27	0.862	0.865
ADAMTS13	ENSG00000160323	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
ADAMTSL4	ENSG00000143382	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
AGBL1	ENSG00000166748	OMIM	AD	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
AK7	ENSG00000140057	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
ALDOB	ENSG00000136872	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.48	-0.63	0.674	0.692	0.00	0.48	-0.63	0.674	0.687
ALKBH8	ENSG00000137760	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
ALOXE3	ENSG00000179148	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
ANO5	ENSG00000171714	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159	0.93	0.12	2.10	0.096	0.159
ASB10	ENSG00000146926	OMIM	Other	Lymph-BNHL	-	-	-	-	-	1.87	0.28	1.69	0.087	0.147	1.87	0.28	1.69	0.087	0.147
ATM	ENSG00000149311	CPG	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
BBS1	ENSG00000174483	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.24	1.28	0.271	0.317	0.93	0.24	1.28	0.271	0.311
BCHE	ENSG00000114200	OMIM	Other	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
BTD	ENSG00000169814	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
C7	ENSG00000112936	OMIM	Other	Lymph-BNHL	-	-	-	-	-	1.87	0.20	2.11	0.041	0.071	2.80	0.20	2.54	0.007	0.014
C8B	ENSG00000021852	OMIM	AR	Lymph-BNHL	0.93	0.16	1.77	0.145	0.240	0.93	0.16	1.77	0.145	0.238	0.93	0.16	1.77	0.145	0.239
CAPN3	ENSG00000092529	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159	0.93	0.12	2.10	0.096	0.159
CBS	ENSG00000160200	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
CC2D2A	ENSG00000048342	OMIM	AR	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
CCDC73	ENSG00000186714	SOD	Not OMIM	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
CCT5	ENSG00000150753	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
CDH17	ENSG00000079112	SOD	Not OMIM	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
CENPJ	ENSG00000151849	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
CFTR	ENSG00000001626	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	2.80	0.12	3.13	0.002	0.005	2.80	0.12	3.13	0.002	0.005
CLCN1	ENSG00000188037	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.16	0.76	0.633	0.646
CLCNKA	ENSG00000186510	OMIM	Other	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
CLTCL1	ENSG00000070371	SOD	Not OMIM	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	-	-	-	-	-	0.00	0.20	0.49	0.752	0.760
CNGA1	ENSG00000198515	OMIM	Other	Lymph-BNHL	-	-	-	-	-	0.93	0.16	1.77	0.145	0.238	0.93	0.16	1.77	0.145	0.239
CNGA3	ENSG00000144191	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
CNTRL	ENSG00000119397	SOD	Not OMIM	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
COASY	ENSG00000068120	OMIM	AR	Lymph-BNHL	0.93	0.12	2.10	0.096	0.159	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159
COL7A1	ENSG00000114270	CPG	Not OMIM	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
CPA6	ENSG00000165078	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	1.87	0.04	3.70	0.005	0.010
CR2	ENSG00000117322	OMIM	AR	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
CYP24A1	ENSG00000019186	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
DDX41	ENSG00000183258	OMIM	AD	Lymph-BNHL	0.93	0.12	2.10	0.096	0.159	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159
DMGDH	ENSG00000132837	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
DNAH1	ENSG00000114841	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.28	0.08	0.961	0.961	0.00	0.28	0.08	0.961	0.961
DNAH9	ENSG00000007174	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
DYNC2H1	ENSG00000187240	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
DYSF	ENSG00000135636	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
ECT2L	ENSG00000203734	SOD	Not OMIM	Lymph-BNHL	1.87	0.44	1.10	0.245	0.272	-	-	-	-	-	1.87	0.44	1.10	0.245	0.281
EIF2B5	ENSG00000145191	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
EPX	ENSG00000121053	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
F2	ENSG00000180210	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	1.87	0.08	3.11	0.009	0.017	1.87	0.08	3.11	0.009	0.017
FAM83H	ENSG00000180921	OMIM	AD	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
FANCM	ENSG00000187790	CPG	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
FGG	ENSG00000171557	OMIM	AR	Lymph-BNHL	-	-	-	-	-	3.74	0.76	1.11	0.131	0.217	3.74	0.76	1.11	0.131	0.218
FIG4	ENSG00000112367	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
FKBP14	ENSG00000106080	OMIM	AR	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
FKRP	ENSG00000181027	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
FLG	ENSG00000143631	OMIM	AD	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	-	-	-	-	-	0.00	0.20	0.49	0.752	0.760
FOXE1	ENSG00000178919	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
FUK	ENSG00000157353	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
GAA	ENSG00000171298	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
GALNS	ENSG00000141012	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865	0.00	0.24	0.27	0.862	0.865
GAS2L2	ENSG00000132139	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
GCKR	ENSG00000084734	OMIM	Other	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
GJB2	ENSG00000165474	CPG	Not OMIM	Lymph-BNHL	-	-	-	-	-	0.93	0.20	1.51	0.204	0.281	0.93	0.20	1.51	0.204	0.275
GLB1	ENSG00000170266	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
GPR68	ENSG00000119714	OMIM	AR	Lymph-BNHL	0.93	0.12	2.10	0.096	0.159	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159
GUCA1B	ENSG00000112599	OMIM	Other	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
GYG1	ENSG00000163754	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.12	2.10	0.096	0.159
HAL	ENSG00000084110	OMIM	ADAR	Lymph-BNHL	0.93	0.20	1.51	0.204	0.266	-	-	-	-	-	0.93	0.20	1.51	0.204	0.275
HGD	ENSG00000113924	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865	0.00	0.24	0.27	0.862	0.865
HLA-C	ENSG00000204525	OMIM	Other	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
HPS1	ENSG00000107521	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
HTRA1	ENSG00000166033	OMIM	ADAR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
HYDIN	ENSG00000157423	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
IGF2	ENSG00000167244	OMIM	AD	Lymph-BNHL	0.93	0.16	1.77	0.145	0.240	-	-	-	-	-	0.93	0.16	1.77	0.145	0.239
IGLL5	ENSG00000254709	SOD	Not OMIM	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
KANK1	ENSG00000107104	OMIM	Other	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
KIAA0586	ENSG00000100578	OMIM	AR	Lymph-BNHL	0.00	0.24	0.27	0.862	0.865	0.00	0.20	0.49	0.752	0.761	0.00	0.24	0.27	0.862	0.865
KLHL6	ENSG00000172578	SOD	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
KRT4	ENSG00000170477	OMIM	AD	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
LARS2	ENSG00000011376	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
LDLR	ENSG00000130164	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.28	0.08	0.961	0.961	0.00	0.28	0.08	0.961	0.961
LEPR	ENSG00000116678	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
LIPA	ENSG00000107798	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
LIPT1	ENSG00000144182	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
LRIG2	ENSG00000198799	OMIM	AR	Lymph-BNHL	0.00	0.24	0.27	0.862	0.865	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865
LRP2	ENSG00000081479	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
LY75-CD302	ENSG00000248672	SOD	Not OMIM	Lymph-BNHL	0.93	0.24	1.28	0.271	0.300	-	-	-	-	-	0.93	0.24	1.28	0.271	0.311
MACC1	ENSG00000183742	SOD	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
MC1R	ENSG00000258839	OMIM	AR	Lymph-BNHL	2.80	0.28	2.12	0.018	0.036	-	-	-	-	-	2.80	0.28	2.12	0.018	0.035
MC4R	ENSG00000166603	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159	0.93	0.12	2.10	0.096	0.159
MEF2A	ENSG00000068305	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
MLH3	ENSG00000119684	OMIM	AD	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
MMACHC	ENSG00000132763	OMIM	AR	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	0.93	0.08	2.51	0.058	0.098	0.93	0.28	1.09	0.344	0.393
MPO	ENSG00000005381	OMIM	ADAR	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	0.93	0.28	1.09	0.344	0.397	0.93	0.32	0.92	0.420	0.448
MUT	ENSG00000146085	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
MUTYH	ENSG00000132781	CPG	Not OMIM	Lymph-BNHL	-	-	-	-	-	2.80	0.56	1.20	0.146	0.239	2.80	0.56	1.20	0.146	0.241
MYO15A	ENSG00000091536	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
MYOC	ENSG00000034971	OMIM	AD	Lymph-BNHL	0.93	0.12	2.10	0.096	0.159	0.93	0.12	2.10	0.096	0.159	0.93	0.16	1.77	0.145	0.239
NEB	ENSG00000183091	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
NPFFR2	ENSG00000056291	SOD	Not OMIM	Lymph-BNHL	0.93	0.12	2.10	0.096	0.159	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159
NPHS1	ENSG00000161270	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
NUP93	ENSG00000102900	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.12	2.10	0.096	0.159
OSGEP	ENSG00000092094	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
OTOF	ENSG00000115155	OMIM	AR	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
PAH	ENSG00000171759	OMIM	AR	Lymph-BNHL	-	-	-	-	-	2.80	0.32	1.95	0.027	0.048	2.80	0.32	1.95	0.027	0.048
PARS2	ENSG00000162396	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
PCK2	ENSG00000100889	OMIM	AR	Lymph-BNHL	0.00	0.32	-0.10	0.950	0.952	-	-	-	-	-	0.00	0.32	-0.10	0.950	0.953
PCNT	ENSG00000160299	OMIM	AR	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	0.00	0.16	0.76	0.633	0.650	0.00	0.20	0.49	0.752	0.760
PDCD2L	ENSG00000126249	SOD	Not OMIM	Lymph-BNHL	0.93	0.24	1.28	0.271	0.300	-	-	-	-	-	0.93	0.24	1.28	0.271	0.311
PDE11A	ENSG00000128655	OMIM	AD	Lymph-BNHL	1.87	0.48	0.98	0.295	0.327	-	-	-	-	-	1.87	0.48	0.98	0.295	0.338
PEX1	ENSG00000127980	OMIM	AR	Lymph-BNHL	2.80	0.00	5.13	0.002	0.003	2.80	0.00	5.13	0.002	0.003	2.80	0.00	5.13	0.002	0.003
PKHD1	ENSG00000170927	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.08	2.51	0.058	0.098	0.93	0.08	2.51	0.058	0.097
PKHD1L1	ENSG00000205038	SOD	Not OMIM	Lymph-BNHL	0.00	0.28	0.08	0.961	0.961	-	-	-	-	-	0.00	0.28	0.08	0.961	0.961
PMFBP1	ENSG00000118557	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
PMM2	ENSG00000140650	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.12	2.10	0.096	0.159	0.93	0.16	1.77	0.145	0.239
POLQ	ENSG00000051341	SOD	Not OMIM	Lymph-BNHL	1.87	0.16	2.37	0.026	0.045	-	-	-	-	-	1.87	0.16	2.37	0.026	0.046
PPA2	ENSG00000138777	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
PRDM6	ENSG00000061455	OMIM	AD	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
PRSS12	ENSG00000164099	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
PRSS56	ENSG00000237412	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.36	0.76	0.498	0.527	0.93	0.36	0.76	0.498	0.522
PSKH2	ENSG00000147613	SOD	Not OMIM	Lymph-BNHL	0.93	0.08	2.51	0.058	0.097	-	-	-	-	-	0.93	0.08	2.51	0.058	0.097
PYGM	ENSG00000068976	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
RARS	ENSG00000113643	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	1.87	0.04	3.70	0.005	0.010
RDH12	ENSG00000139988	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
RDH5	ENSG00000135437	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
RGL3	ENSG00000205517	SOD	Not OMIM	Lymph-BNHL	0.93	0.16	1.77	0.145	0.240	-	-	-	-	-	0.93	0.16	1.77	0.145	0.239
RNF213	ENSG00000173821	SOD	Not OMIM	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
RORA	ENSG00000069667	OMIM	AD	Lymph-BNHL	0.00	0.20	0.49	0.752	0.757	-	-	-	-	-	0.00	0.20	0.49	0.752	0.760
RORC	ENSG00000143365	OMIM	AR	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
RP1L1	ENSG00000183638	OMIM	AD	Lymph-BNHL	0.00	0.36	-0.25	0.869	0.872	-	-	-	-	-	0.00	0.36	-0.25	0.869	0.873
RPGRIP1	ENSG00000092200	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.16	0.76	0.633	0.646
RTN4R	ENSG00000040608	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.24	0.27	0.862	0.865	0.00	0.24	0.27	0.862	0.865
RYR1	ENSG00000196218	OMIM	AD	Lymph-BNHL	-	-	-	-	-	1.87	0.12	2.70	0.015	0.030	1.87	0.12	2.70	0.015	0.030
SCO2	ENSG00000130489	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
SERPINA1	ENSG00000197249	CPG	Not OMIM	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
SERPIND1	ENSG00000099937	OMIM	AD	Lymph-BNHL	-	-	-	-	-	0.00	0.20	0.49	0.752	0.761	0.00	0.20	0.49	0.752	0.760
SETD2	ENSG00000181555	OMIM	AD	Lymph-BNHL	0.00	0.12	1.08	0.504	0.516	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
SGCA	ENSG00000108823	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.93	0.16	1.77	0.145	0.238	0.93	0.16	1.77	0.145	0.239
SGSH	ENSG00000181523	OMIM	AR	Lymph-BNHL	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.08	0.504	0.522
SHPK	ENSG00000197417	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
SI	ENSG00000090402	OMIM	AR	Lymph-BNHL	-	-	-	-	-	2.80	0.08	3.54	0.001	0.003	2.80	0.08	3.54	0.001	0.003
SIAE	ENSG00000110013	OMIM	Other	Lymph-BNHL	-	-	-	-	-	1.87	0.24	1.88	0.061	0.103	1.87	0.24	1.88	0.061	0.103
SLC10A2	ENSG00000125255	OMIM	AR	Lymph-BNHL	0.00	0.16	0.76	0.633	0.641	-	-	-	-	-	0.00	0.16	0.76	0.633	0.646
SLC17A5	ENSG00000119899	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.12	1.08	0.504	0.527	0.00	0.12	1.08	0.504	0.522
SLC17A9	ENSG00000101194	OMIM	AD	Lymph-BNHL	0.00	0.28	0.08	0.961	0.961	-	-	-	-	-	0.00	0.28	0.08	0.961	0.961
SLC26A2	ENSG00000155850	OMIM	AR	Lymph-BNHL	-	-	-	-	-	0.00	0.28	0.08	0.961	0.961	0.00	0.28	0.08	0.961	0.961
SLC26A4	ENSG00000091137	OMIM	AR	Lymph-BNHL	-	-	-	-	-	1.87	0.04	3.70	0.005	0.010	1.87	0.04	3.70	0.005	0.010
SLC2A9	ENSG00000109667	OMIM	ADAR	Lymph-BNHL	-	-	-	-	-	0.00	0.16	0.76	0.633	0.650	0.00	0.16	0.76	0.633	0.646
