Supplementary Table 5. Functional Annotation of 103 Significantly Enriched OMIM Genes Using GO and KEGG			
			
ID	GOTERM_BP_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY
NOD2	GO:0002221~pattern recognition receptor signaling pathway,GO:0002227~innate immune response in mucosa,GO:0002253~activation of immune response,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0002710~negative regulation of T cell mediated immunity,GO:0002720~positive regulation of cytokine production involved in immune response,GO:0002732~positive regulation of dendritic cell cytokine production,GO:0002815~biosynthetic process of antibacterial peptides active against Gram-positive bacteria,GO:0002830~positive regulation of type 2 immune response,GO:0002862~negative regulation of inflammatory response to antigenic stimulus,GO:0002925~positive regulation of humoral immune response mediated by circulating immunoglobulin,GO:0006909~phagocytosis,GO:0006952~defense response,GO:0006965~positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007254~JNK cascade,GO:0007584~response to nutrient,GO:0009595~detection of biotic stimulus,GO:0010936~negative regulation of macrophage cytokine production,GO:0016045~detection of bacterium,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030277~maintenance of gastrointestinal epithelium,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032495~response to muramyl dipeptide,GO:0032498~detection of muramyl dipeptide,GO:0032689~negative regulation of interferon-gamma production,GO:0032695~negative regulation of interleukin-12 production,GO:0032701~negative regulation of interleukin-18 production,GO:0032703~negative regulation of interleukin-2 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032733~positive regulation of interleukin-10 production,GO:0032735~positive regulation of interleukin-12 production,GO:0032740~positive regulation of interleukin-17 production,GO:0032755~positive regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0034134~toll-like receptor 2 signaling pathway,GO:0034136~negative regulation of toll-like receptor 2 signaling pathway,GO:0035556~intracellular signal transduction,GO:0038061~NIK/NF-kappaB signaling,GO:0042742~defense response to bacterium,GO:0042981~regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043330~response to exogenous dsRNA,GO:0043406~positive regulation of MAP kinase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045087~innate immune response,GO:0045089~positive regulation of innate immune response,GO:0045747~positive regulation of Notch signaling pathway,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046330~positive regulation of JNK cascade,GO:0046645~positive regulation of gamma-delta T cell activation,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050727~regulation of inflammatory response,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050766~positive regulation of phagocytosis,GO:0050830~defense response to Gram-positive bacterium,GO:0050871~positive regulation of B cell activation,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051353~positive regulation of oxidoreductase activity,GO:0051649~establishment of localization in cell,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0060585~positive regulation of prostaglandin-endoperoxide synthase activity,GO:0060907~positive regulation of macrophage cytokine production,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070431~nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0071222~cellular response to lipopolysaccharide,GO:0071224~cellular response to peptidoglycan,GO:0071225~cellular response to muramyl dipeptide,GO:0071407~cellular response to organic cyclic compound,GO:0071639~positive regulation of monocyte chemotactic protein-1 production,GO:0090022~regulation of neutrophil chemotaxis,GO:0098792~xenophagy,GO:1900017~positive regulation of cytokine production involved in inflammatory response,GO:1901224~positive regulation of NIK/NF-kappaB signaling,GO:1902523~positive regulation of protein K63-linked ubiquitination,GO:1904417~positive regulation of xenophagy,GO:2000110~negative regulation of macrophage apoptotic process,GO:2000363~positive regulation of prostaglandin-E synthase activity,	GO:0003779~actin binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019899~enzyme binding,GO:0019901~protein kinase binding,GO:0030296~protein tyrosine kinase activator activity,GO:0030544~Hsp70 protein binding,GO:0030546~receptor activator activity,GO:0032500~muramyl dipeptide binding,GO:0038187~pattern recognition receptor activity,GO:0042834~peptidoglycan binding,GO:0044877~macromolecular complex binding,GO:0050700~CARD domain binding,GO:0051879~Hsp90 protein binding,	hsa04621:NOD-like receptor signaling pathway,hsa04668:TNF signaling pathway,hsa05152:Tuberculosis,hsa05321:Inflammatory bowel disease,
OTOG	GO:0007605~sensory perception of sound,GO:0008344~adult locomotory behavior,GO:0046373~L-arabinose metabolic process,	GO:0005198~structural molecule activity,GO:0046556~alpha-L-arabinofuranosidase activity,	
PAX4	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007623~circadian rhythm,GO:0009410~response to xenobiotic stimulus,GO:0009887~animal organ morphogenesis,GO:0030154~cell differentiation,GO:0031016~pancreas development,GO:0043066~negative regulation of apoptotic process,GO:0045597~positive regulation of cell differentiation,GO:0048856~anatomical structure development,GO:0051591~response to cAMP,GO:0060041~retina development in camera-type eye,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:1990837~sequence-specific double-stranded DNA binding,	hsa04950:Maturity onset diabetes of the young,
PADI3	GO:0016570~histone modification,GO:0018101~protein citrullination,GO:0036414~histone citrullination,	GO:0004668~protein-arginine deiminase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0042802~identical protein binding,	
PADI4	GO:0006325~chromatin organization,GO:0006334~nucleosome assembly,GO:0006338~chromatin remodeling,GO:0006464~cellular protein modification process,GO:0016570~histone modification,GO:0018101~protein citrullination,GO:0019827~stem cell population maintenance,GO:0036211~protein modification process,GO:0036413~histone H3-R26 citrullination,GO:0036414~histone citrullination,GO:0043687~post-translational protein modification,GO:0045087~innate immune response,	GO:0004668~protein-arginine deiminase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0034618~arginine binding,GO:0042802~identical protein binding,	hsa04613:Neutrophil extracellular trap formation,
PEX1	GO:0006625~protein targeting to peroxisome,GO:0007031~peroxisome organization,GO:0016558~protein import into peroxisome matrix,GO:0016562~protein import into peroxisome matrix, receptor recycling,GO:0043335~protein unfolding,GO:0060152~microtubule-based peroxisome localization,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0016887~ATPase activity,GO:0044877~macromolecular complex binding,	hsa04146:Peroxisome,
PEX6	GO:0006625~protein targeting to peroxisome,GO:0007031~peroxisome organization,GO:0016558~protein import into peroxisome matrix,GO:0016561~protein import into peroxisome matrix, translocation,GO:0016562~protein import into peroxisome matrix, receptor recycling,GO:0043335~protein unfolding,GO:0050821~protein stabilization,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0016887~ATPase activity,GO:0044877~macromolecular complex binding,	hsa04146:Peroxisome,
PAH	GO:0006559~L-phenylalanine catabolic process,GO:0006571~tyrosine biosynthetic process,GO:0008652~cellular amino acid biosynthetic process,GO:0009072~aromatic amino acid family metabolic process,GO:0019293~tyrosine biosynthetic process, by oxidation of phenylalanine,GO:0042136~neurotransmitter biosynthetic process,GO:0042423~catecholamine biosynthetic process,	GO:0004497~monooxygenase activity,GO:0004505~phenylalanine 4-monooxygenase activity,GO:0005506~iron ion binding,GO:0016714~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen,	hsa00360:Phenylalanine metabolism,hsa00400:Phenylalanine, tyrosine and tryptophan biosynthesis,hsa00790:Folate biosynthesis,hsa01100:Metabolic pathways,hsa01230:Biosynthesis of amino acids,
PHYH	GO:0001561~fatty acid alpha-oxidation,GO:0006103~2-oxoglutarate metabolic process,GO:0006720~isoprenoid metabolic process,GO:0019606~2-oxobutyrate catabolic process,GO:0097089~methyl-branched fatty acid metabolic process,	GO:0005515~protein binding,GO:0008198~ferrous iron binding,GO:0031406~carboxylic acid binding,GO:0031418~L-ascorbic acid binding,GO:0048244~phytanoyl-CoA dioxygenase activity,	hsa04146:Peroxisome,
PLEKHG2	GO:0030833~regulation of actin filament polymerization,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0031267~small GTPase binding,	
PLOD3	GO:0001701~in utero embryonic development,GO:0001886~endothelial cell morphogenesis,GO:0006493~protein O-linked glycosylation,GO:0008104~protein localization,GO:0017185~peptidyl-lysine hydroxylation,GO:0021915~neural tube development,GO:0030199~collagen fibril organization,GO:0032963~collagen metabolic process,GO:0042311~vasodilation,GO:0046947~hydroxylysine biosynthetic process,GO:0048730~epidermis morphogenesis,GO:0060425~lung morphogenesis,GO:0070831~basement membrane assembly,	GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0008475~procollagen-lysine 5-dioxygenase activity,GO:0031418~L-ascorbic acid binding,GO:0033823~procollagen glucosyltransferase activity,GO:0036094~small molecule binding,GO:0046872~metal ion binding,GO:0050211~procollagen galactosyltransferase activity,	hsa00310:Lysine degradation,hsa00514:Other types of O-glycan biosynthesis,hsa01100:Metabolic pathways,
PTGDR	GO:0006954~inflammatory response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0030238~male sex determination,GO:0030431~sleep,GO:0043303~mast cell degranulation,GO:0046085~adenosine metabolic process,GO:0071799~cellular response to prostaglandin D stimulus,	GO:0001785~prostaglandin J receptor activity,GO:0004956~prostaglandin D receptor activity,GO:0005515~protein binding,	hsa04080:Neuroactive ligand-receptor interaction,
PROZ	GO:0006508~proteolysis,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007596~blood coagulation,	GO:0004252~serine-type endopeptidase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,	
PPP2R1B	GO:0006470~protein dephosphorylation,GO:0060561~apoptotic process involved in morphogenesis,GO:2001241~positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,	GO:0005515~protein binding,GO:0019888~protein phosphatase regulator activity,	hsa03015:mRNA surveillance pathway,hsa04071:Sphingolipid signaling pathway,hsa04110:Cell cycle,hsa04114:Oocyte meiosis,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04530:Tight junction,hsa04728:Dopaminergic synapse,hsa04730:Long-term depression,hsa05142:Chagas disease,hsa05160:Hepatitis C,hsa05165:Human papillomavirus infection,
PRSS12	GO:0006887~exocytosis,GO:0006897~endocytosis,GO:0031638~zymogen activation,	GO:0004252~serine-type endopeptidase activity,GO:0005044~scavenger receptor activity,GO:0008236~serine-type peptidase activity,	
SERPINB8	GO:0010951~negative regulation of endopeptidase activity,GO:0090136~epithelial cell-cell adhesion,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005515~protein binding,	
SCN11A	GO:0001966~thigmotaxis,GO:0002526~acute inflammatory response,GO:0002544~chronic inflammatory response,GO:0006814~sodium ion transport,GO:0007409~axonogenesis,GO:0007623~circadian rhythm,GO:0009408~response to heat,GO:0009410~response to xenobiotic stimulus,GO:0009636~response to toxic substance,GO:0009644~response to high light intensity,GO:0010737~protein kinase A signaling,GO:0010996~response to auditory stimulus,GO:0019228~neuronal action potential,GO:0034695~response to prostaglandin E,GO:0034765~regulation of ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0040040~thermosensory behavior,GO:0043303~mast cell degranulation,GO:0048870~cell motility,GO:0050965~detection of temperature stimulus involved in sensory perception of pain,GO:0050966~detection of mechanical stimulus involved in sensory perception of pain,GO:0051930~regulation of sensory perception of pain,GO:0060004~reflex,GO:0060073~micturition,GO:0060538~skeletal muscle organ development,GO:0060840~artery development,GO:0061367~behavioral response to acetic acid induced pain,GO:0061368~behavioral response to formalin induced pain,GO:0070417~cellular response to cold,GO:0071731~response to nitric oxide,GO:0086010~membrane depolarization during action potential,GO:0098703~calcium ion import across plasma membrane,GO:0099610~action potential initiation,GO:1990408~calcitonin gene-related peptide receptor signaling pathway,GO:1990770~small intestine smooth muscle contraction,	GO:0005244~voltage-gated ion channel activity,GO:0005248~voltage-gated sodium channel activity,GO:0008331~high voltage-gated calcium channel activity,	
SLC22A12	GO:0006811~ion transport,GO:0009410~response to xenobiotic stimulus,GO:0015711~organic anion transport,GO:0015747~urate transport,GO:0019725~cellular homeostasis,GO:0032869~cellular response to insulin stimulus,GO:0046415~urate metabolic process,GO:0055085~transmembrane transport,GO:0097744~urate salt excretion,	GO:0015143~urate transmembrane transporter activity,GO:0022857~transmembrane transporter activity,GO:0030165~PDZ domain binding,	
SLC26A8	GO:0006820~anion transport,GO:0006821~chloride transport,GO:0007283~spermatogenesis,GO:0008272~sulfate transport,GO:0015701~bicarbonate transport,GO:0019532~oxalate transport,GO:0030154~cell differentiation,GO:0030317~flagellated sperm motility,GO:0048240~sperm capacitation,GO:0051321~meiotic cell cycle,GO:1902358~sulfate transmembrane transport,GO:1902476~chloride transmembrane transport,	GO:0005254~chloride channel activity,GO:0005515~protein binding,GO:0008271~secondary active sulfate transmembrane transporter activity,GO:0015106~bicarbonate transmembrane transporter activity,GO:0015108~chloride transmembrane transporter activity,GO:0015116~sulfate transmembrane transporter activity,GO:0015301~anion:anion antiporter activity,GO:0019531~oxalate transmembrane transporter activity,	
SLCO1B3	GO:0006805~xenobiotic metabolic process,GO:0006811~ion transport,GO:0010466~negative regulation of peptidase activity,GO:0015711~organic anion transport,GO:0015721~bile acid and bile salt transport,GO:0042167~heme catabolic process,GO:0043252~sodium-independent organic anion transport,GO:0055085~transmembrane transport,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0008514~organic anion transmembrane transporter activity,GO:0015125~bile acid transmembrane transporter activity,GO:0015347~sodium-independent organic anion transmembrane transporter activity,GO:0022857~transmembrane transporter activity,	hsa04976:Bile secretion,
SI	GO:0005987~sucrose catabolic process,GO:0044245~polysaccharide digestion,	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004558~alpha-1,4-glucosidase activity,GO:0004574~oligo-1,6-glucosidase activity,GO:0004575~sucrose alpha-glucosidase activity,GO:0030246~carbohydrate binding,	hsa00052:Galactose metabolism,hsa00500:Starch and sucrose metabolism,hsa01100:Metabolic pathways,hsa04973:Carbohydrate digestion and absorption,
TENM4	GO:0001702~gastrulation with mouth forming second,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007165~signal transduction,GO:0031641~regulation of myelination,GO:0031643~positive regulation of myelination,GO:0032289~central nervous system myelin formation,GO:0048666~neuron development,GO:0048714~positive regulation of oligodendrocyte differentiation,GO:0060038~cardiac muscle cell proliferation,GO:0060912~cardiac cell fate specification,GO:2000543~positive regulation of gastrulation,	GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,GO:0050839~cell adhesion molecule binding,	
TEX11	GO:0000712~resolution of meiotic recombination intermediates,GO:0006311~meiotic gene conversion,GO:0006915~apoptotic process,GO:0007060~male meiosis chromosome segregation,GO:0007130~synaptonemal complex assembly,GO:0007131~reciprocal meiotic recombination,GO:0008584~male gonad development,GO:0009566~fertilization,GO:0035234~ectopic germ cell programmed cell death,GO:0043066~negative regulation of apoptotic process,GO:0051026~chiasma assembly,GO:0051093~negative regulation of developmental process,GO:2000242~negative regulation of reproductive process,	GO:0005515~protein binding,	
TGM3	GO:0006464~cellular protein modification process,GO:0018149~peptide cross-linking,GO:0030216~keratinocyte differentiation,GO:0031069~hair follicle morphogenesis,GO:0031424~keratinization,GO:0036211~protein modification process,GO:0043163~cell envelope organization,	GO:0003810~protein-glutamine gamma-glutamyltransferase activity,GO:0003824~catalytic activity,GO:0005198~structural molecule activity,GO:0005509~calcium ion binding,GO:0016746~transferase activity, transferring acyl groups,	
TYRP1	GO:0030318~melanocyte differentiation,GO:0032438~melanosome organization,GO:0042438~melanin biosynthetic process,GO:0043438~acetoacetic acid metabolic process,GO:0048023~positive regulation of melanin biosynthetic process,	GO:0004503~monophenol monooxygenase activity,GO:0005515~protein binding,GO:0016491~oxidoreductase activity,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,	hsa00350:Tyrosine metabolism,hsa01100:Metabolic pathways,hsa04916:Melanogenesis,
VWA3B			
ZFYVE26	GO:0000281~mitotic cytokinesis,GO:0000724~double-strand break repair via homologous recombination,GO:0007040~lysosome organization,GO:0032465~regulation of cytokinesis,GO:1905037~autophagosome organization,	GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0032266~phosphatidylinositol-3-phosphate binding,GO:0046872~metal ion binding,	
ZP1	GO:0007338~single fertilization,GO:0007339~binding of sperm to zona pellucida,GO:0060468~prevention of polyspermy,	GO:0005515~protein binding,GO:0032190~acrosin binding,GO:0035804~structural constituent of egg coat,	
